thrL	[189:255](+)	['ECDH10B_0001']
hyaF	[1089899:1090757](+)	['ECDH10B_1047']
appC	[1090890:1092435](+)	['ECDH10B_1048']
appB	[1092446:1093583](+)	['ECDH10B_1049']
appA	[1093767:1095066](+)	['ECDH10B_1050']
insA-4	[1102983:1103259](+)	['ECDH10B_1058']
insB-4	[1103177:1103681](+)	['ECDH10B_1059']
cspG	[1104611:1104824](+)	['ECDH10B_1061']
ymcE	[1104997:1105228](+)	['ECDH10B_1062']
gnsA	[1105217:1105391](+)	['ECDH10B_1063']
torT	[1109411:1110440](+)	['ECDH10B_1066']
torC	[1111234:1112407](+)	['ECDH10B_1068']
torA	[1112406:1114953](+)	['ECDH10B_1069']
torD	[1114949:1115549](+)	['ECDH10B_1070']
yccE	[1117186:1118443](+)	['ECDH10B_1073']
agp	[1118735:1119977](+)	['ECDH10B_1074']
ymdF	[1121231:1121405](+)	['ECDH10B_1077']
rutR	[1127392:1128031](+)	['ECDH10B_1085']
putP	[1132455:1133964](+)	['ECDH10B_1087']
efeU	[1134506:1135336](+)	['ECDH10B_1089']
efeO	[1135393:1136521](+)	['ECDH10B_1091']
efeB	[1136526:1137798](+)	['ECDH10B_1092']
phoH	[1138142:1139207](+)	['ECDH10B_1093']
ycdT	join{[1146026:1146638](+), [1147974:1148721](+)}	['ECDH10B_1098']
ymdE	[1149989:1150333](+)	['ECDH10B_1102']
ycdU	[1150329:1151316](+)	['ECDH10B_1103']
ycdW	[1152553:1153492](+)	['ECDH10B_1105']
ycdX	[1153546:1154284](+)	['ECDH10B_1106']
ycdY	[1154307:1154862](+)	['ECDH10B_1107']
ycdZ	[1154963:1155455](+)	['ECDH10B_1108']
csgB	[1158618:1159074](+)	['ECDH10B_1113']
csgA	[1159114:1159570](+)	['ECDH10B_1114']
csgC	[1159628:1159961](+)	['ECDH10B_1115']
ymdA	[1160081:1160393](+)	['ECDH10B_1116']
ymdB	[1160487:1161021](+)	['ECDH10B_1117']
ymdC	[1161022:1162444](+)	['ECDH10B_1118']
mdoG	[1164002:1165538](+)	['ECDH10B_1120']
mdoH	[1165530:1168074](+)	['ECDH10B_1121']
yceK	[1168246:1168474](+)	['ECDH10B_1122']
yceA	[1171474:1172527](+)	['ECDH10B_1126']
rimJ	[1180229:1180814](+)	['ECDH10B_1137']
yceH	[1180824:1181472](+)	['ECDH10B_1138']
mviM	[1181473:1182397](+)	['ECDH10B_1139']
yceN	[1182506:1184042](+)	['ECDH10B_1140']
flgB	[1185685:1186102](+)	['ECDH10B_1144']
flgC	[1186105:1186510](+)	['ECDH10B_1145']
flgD	[1186521:1187217](+)	['ECDH10B_1146']
flgE	[1187241:1188450](+)	['ECDH10B_1147']
flgF	[1188469:1189225](+)	['ECDH10B_1148']
flgG	[1189396:1190179](+)	['ECDH10B_1149']
flgH	[1190231:1190930](+)	['ECDH10B_1150']
flgI	[1190941:1192039](+)	['ECDH10B_1151']
flgJ	[1192038:1192980](+)	['ECDH10B_1152']
flgK	[1193045:1194689](+)	['ECDH10B_1153']
flgL	[1194700:1195654](+)	['ECDH10B_1154']
yceQ	[1199169:1199490](+)	['ECDH10B_1156']
rluC	[1199607:1200567](+)	['ECDH10B_1157']
yceD	[1201461:1201983](+)	['ECDH10B_1160']
rpmF	[1202034:1202208](+)	['ECDH10B_1161']
plsX	[1202288:1203359](+)	['ECDH10B_1162']
fabH	[1203426:1204380](+)	['ECDH10B_1163']
fabD	[1204395:1205325](+)	['ECDH10B_1164']
fabG	[1205337:1206072](+)	['ECDH10B_1165']
acpP	[1206282:1206519](+)	['ECDH10B_1166']
fabF	[1206606:1207848](+)	['ECDH10B_1167']
pabC	[1207967:1208777](+)	['ECDH10B_1168']
yceG	[1208779:1209802](+)	['ECDH10B_1169']
tmk	[1209791:1210433](+)	['ECDH10B_1170']
holB	[1210429:1211434](+)	['ECDH10B_1171']
ycfH	[1211444:1212242](+)	['ECDH10B_1172']
ptsG	[1212536:1213970](+)	['ECDH10B_1173']
hinT	[1216552:1216912](+)	['ECDH10B_1175']
ycfL	[1216914:1217292](+)	['ECDH10B_1176']
ycfM	[1217305:1217947](+)	['ECDH10B_1177']
thiK	[1217927:1218752](+)	['ECDH10B_1178']
nagZ	[1218762:1219788](+)	['ECDH10B_1179']
ycfP	[1219810:1220353](+)	['ECDH10B_1180']
ndh	[1220752:1222057](+)	['ECDH10B_1181']
ycfJ	[1222266:1222806](+)	['ECDH10B_1182']
ycfR	[1223740:1223998](+)	['ECDH10B_1184']
lolC	[1230094:1231294](+)	['ECDH10B_1188']
lolD	[1231286:1231988](+)	['ECDH10B_1189']
lolE	[1231987:1233232](+)	['ECDH10B_1190']
nagK	[1233260:1234172](+)	['ECDH10B_1191']
cobB	[1234187:1235027](+)	['ECDH10B_1192']
pepT	[1240511:1241738](+)	['ECDH10B_1199']
icd	[1249790:1251041](+)	['ECDH10B_1208']
ycgZ	[1255252:1255489](+)	['ECDH10B_1213']
ymgA	[1255531:1255804](+)	['ECDH10B_1214']
ymgB	[1255832:1256099](+)	['ECDH10B_1215']
ymgC	[1256211:1256460](+)	['ECDH10B_1216']
ycgG	[1256791:1258315](+)	['ECDH10B_1217']
ymgF	[1258446:1258665](+)	['ECDH10B_1218']
ycgH	[1259064:1261686](+)	['ECDH10B_1220']
ymgJ	[1262727:1262913](+)	['ECDH10B_1225']
ycgI	[1263027:1263371](+)	['ECDH10B_1226']
ycgJ	[1266063:1266432](+)	['ECDH10B_1230']
ycgL	[1267144:1267471](+)	['ECDH10B_1232']
ycgM	[1267542:1268202](+)	['ECDH10B_1233']
ycgN	[1268278:1268740](+)	['ECDH10B_1234']
umuD	[1270230:1270650](+)	['ECDH10B_1236']
umuC	[1270649:1271918](+)	['ECDH10B_1237']
fadR	[1274401:1275121](+)	['ECDH10B_1240']
dadA	[1277034:1278333](+)	['ECDH10B_1242']
dadX	[1278342:1279413](+)	['ECDH10B_1243']
emtA	[1282643:1283255](+)	['ECDH10B_1246']
ymgE	[1284191:1284446](+)	['ECDH10B_1248']
ycgY	[1284623:1285064](+)	['ECDH10B_1249']
dhaR	[1290529:1292449](+)	['ECDH10B_1254']
ychH	[1298254:1298533](+)	['ECDH10B_1258']
hemA	[1303177:1304434](+)	['ECDH10B_1263']
prfA	[1304475:1305558](+)	['ECDH10B_1264']
prmC	[1305557:1306391](+)	['ECDH10B_1265']
ychQ	[1306387:1306780](+)	['ECDH10B_1266']
ychA	[1306783:1307593](+)	['ECDH10B_1267']
kdsA	[1307628:1308483](+)	['ECDH10B_1268']
chaB	[1311582:1311813](+)	['ECDH10B_1276']
chaC	[1311970:1312666](+)	['ECDH10B_1277']
ychO	[1313247:1314642](+)	['ECDH10B_1279']
narK	[1317420:1318812](+)	['ECDH10B_1282']
narG	[1319327:1323071](+)	['ECDH10B_1283']
narH	[1323067:1324606](+)	['ECDH10B_1284']
narJ	[1324602:1325313](+)	['ECDH10B_1285']
narI	[1325312:1325990](+)	['ECDH10B_1286']
ychS	[1326172:1326448](+)	['ECDH10B_1287']
rssA	[1328669:1329614](+)	['ECDH10B_1294']
rssB	[1329705:1330719](+)	['ECDH10B_1295']
galU	[1330920:1331829](+)	['ECDH10B_1296']
tdk	[1332990:1333608](+)	['ECDH10B_1298']
ychE	[1338061:1338709](+)	['ECDH10B_1303']
oppA	[1340223:1341855](+)	['ECDH10B_1305']
oppB	[1341940:1342861](+)	['ECDH10B_1306']
oppC	[1342875:1343784](+)	['ECDH10B_1307']
oppD	[1343795:1344809](+)	['ECDH10B_1308']
oppF	[1344805:1345810](+)	['ECDH10B_1309']
int	[1349758:1351009](+)	['ECDH10B_1313']
30	[1360411:1360633](+)	['ECDH10B_1329']
cII	[1360807:1361206](+)	['ECDH10B_1330']
15	[1361291:1362200](+)	['ECDH10B_1331']
14	[1362196:1362886](+)	['ECDH10B_1332']
rap	[1365172:1365814](+)	['ECDH10B_1336']
17	[1366129:1366939](+)	['ECDH10B_1337']
18	[1367417:1367642](+)	['ECDH10B_1338']
19	[1367619:1368114](+)	['ECDH10B_1339']
Rz	[1368110:1368569](+)	['ECDH10B_1340']
Rz1	[1368330:1368516](+)	['ECDH10B_1341']
rha	[1368731:1369286](+)	['ECDH10B_1342']
1	[1371320:1371866](+)	['ECDH10B_1346']
2	[1371840:1373763](+)	['ECDH10B_1347']
W	[1373762:1373969](+)	['ECDH10B_1348']
B	[1373965:1375558](+)	['ECDH10B_1349']
C	[1375538:1376882](+)	['ECDH10B_1350']
D	[1376891:1377224](+)	['ECDH10B_1351']
5	[1377291:1378260](+)	['ECDH10B_1352']
cynS	[1378248:1378719](+)	['ECDH10B_1353']
cynX	[1378751:1379906](+)	['ECDH10B_1354']
mhpA	[1387277:1388942](+)	['ECDH10B_1359']
mhpB	[1388943:1389888](+)	['ECDH10B_1360']
mhpC	[1389890:1390772](+)	['ECDH10B_1361']
tnpA	[1393945:1396954](+)	['ECDH10B_1364']
tonB	[1398508:1399228](+)	['ECDH10B_1367']
ompW	[1401439:1402078](+)	['ECDH10B_1371']
trpH	[1410639:1411521](+)	['ECDH10B_1381']
yciO	[1411517:1412138](+)	['ECDH10B_1382']
yciQ	[1412165:1414061](+)	['ECDH10B_1383']
rluB	[1414271:1415147](+)	['ECDH10B_1384']
sohB	[1416751:1417801](+)	['ECDH10B_1387']
topA	[1418467:1421065](+)	['ECDH10B_1389']
cysB	[1421274:1422249](+)	['ECDH10B_1390']
ymiA	[1422579:1422708](+)	['ECDH10B_1391']
yciX	[1422710:1422878](+)	['ECDH10B_1392']
acnA	[1423250:1425926](+)	['ECDH10B_1393']
pgpB	[1426749:1427514](+)	['ECDH10B_1395']
yciS	[1427662:1427971](+)	['ECDH10B_1396']
yciM	[1427977:1429147](+)	['ECDH10B_1397']
pyrF	[1429340:1430078](+)	['ECDH10B_1398']
yciH	[1430077:1430404](+)	['ECDH10B_1399']
puuD	[1448539:1449304](+)	['ECDH10B_1415']
puuR	[1449330:1449888](+)	['ECDH10B_1416']
puuC	[1450162:1451650](+)	['ECDH10B_1417']
puuB	[1451651:1452932](+)	['ECDH10B_1418']
puuE	[1452969:1454235](+)	['ECDH10B_1419']
pspA	[1455498:1456167](+)	['ECDH10B_1421']
pspB	[1456220:1456445](+)	['ECDH10B_1422']
pspC	[1456444:1456804](+)	['ECDH10B_1423']
pspD	[1456812:1457034](+)	['ECDH10B_1424']
pspE	[1457108:1457423](+)	['ECDH10B_1425']
ycjM	[1457635:1459315](+)	['ECDH10B_1426']
ycjN	[1459328:1460621](+)	['ECDH10B_1427']
ycjO	[1460641:1461523](+)	['ECDH10B_1428']
ycjP	[1461509:1462352](+)	['ECDH10B_1429']
ycjQ	[1462382:1463435](+)	['ECDH10B_1430']
ycjR	[1463453:1464242](+)	['ECDH10B_1431']
ycjS	[1464251:1465307](+)	['ECDH10B_1432']
ycjT	[1465303:1467571](+)	['ECDH10B_1433']
ycjU	[1467567:1468227](+)	['ECDH10B_1434']
ycjV	[1468240:1469322](+)	['ECDH10B_1436']
ompG	[1469366:1470272](+)	['ECDH10B_1438']
ycjX	[1471536:1472934](+)	['ECDH10B_1440']
ycjF	[1472930:1473992](+)	['ECDH10B_1441']
tyrR	[1474139:1475681](+)	['ECDH10B_1442']
ycjG	[1476349:1477315](+)	['ECDH10B_1444']
ycjZ	[1479410:1480310](+)	['ECDH10B_1448']
mppA	[1480646:1482260](+)	['ECDH10B_1449']
insH-4	[1483495:1484512](+)	['ECDH10B_1451']
ynaJ	[1484784:1485042](+)	['ECDH10B_1452']
abgR	[1492160:1493069](+)	['ECDH10B_1459']
ydaL	[1493398:1493962](+)	['ECDH10B_1461']
ydaN	[1495469:1496453](+)	['ECDH10B_1463']
dbpA	[1496930:1498304](+)	['ECDH10B_1464']
sieB	[1506090:1506579](+)	['ECDH10B_1475']
ydaS	[1507784:1508081](+)	['ECDH10B_1479']
ydaT	[1508103:1508526](+)	['ECDH10B_1480']
ydaU	[1508538:1509396](+)	['ECDH10B_1481']
ydaV	[1509402:1510149](+)	['ECDH10B_1482']
ydaW	[1510171:1510732](+)	['ECDH10B_1483']
rzpR	[1510764:1511064](+)	['ECDH10B_1484']
rzoR	[1510819:1511005](+)	['ECDH10B_1485']
trkG	[1511201:1512659](+)	['ECDH10B_1486']
ynaK	[1512796:1513060](+)	['ECDH10B_1487']
ydaY	[1513040:1513400](+)	['ECDH10B_1488']
ynaA	[1513873:1514902](+)	['ECDH10B_1489']
lomR	join{[1514814:1515020](+), [1516220:1516404](+)}	['ECDH10B_1490']
stfR	[1516468:1519831](+)	['ECDH10B_1494']
tfaR	[1519830:1520406](+)	['ECDH10B_1495']
ydbJ	[1529676:1529943](+)	['ECDH10B_1503']
ydbH	[1531669:1534309](+)	['ECDH10B_1506']
ynbE	[1534305:1534491](+)	['ECDH10B_1507']
ydbL	[1534498:1534825](+)	['ECDH10B_1508']
feaB	[1536137:1537637](+)	['ECDH10B_1510']
paaA	[1542545:1543475](+)	['ECDH10B_1513']
paaB	[1543486:1543774](+)	['ECDH10B_1514']
paaC	[1543782:1544529](+)	['ECDH10B_1515']
paaD	[1544543:1545041](+)	['ECDH10B_1516']
paaE	[1545048:1546119](+)	['ECDH10B_1517']
paaF	[1546115:1546883](+)	['ECDH10B_1518']
paaG	[1546882:1547671](+)	['ECDH10B_1519']
paaH	[1547672:1549100](+)	['ECDH10B_1520']
paaI	[1549089:1549512](+)	['ECDH10B_1521']
paaJ	[1549511:1550717](+)	['ECDH10B_1522']
paaK	[1550743:1552057](+)	['ECDH10B_1523']
paaX	[1552157:1553108](+)	['ECDH10B_1524']
paaY	[1553089:1553680](+)	['ECDH10B_1525']
ydbA	join{[1554010:1556528](+), [1557864:1557914](+), [1559137:1562632](+)}	['ECDH10B_1527']
insI-2	[1557976:1559128](+)	['ECDH10B_1530']
ydbC	[1562839:1563700](+)	['ECDH10B_1532']
ydbD	[1563762:1566069](+)	['ECDH10B_1533']
ynbA	[1566239:1566845](+)	['ECDH10B_1534']
ynbB	[1566844:1567741](+)	['ECDH10B_1535']
ynbC	[1567756:1569514](+)	['ECDH10B_1536']
ynbD	[1569527:1570820](+)	['ECDH10B_1537']
hrpA	[1571679:1575582](+)	['ECDH10B_1539']
ydcF	[1575853:1576654](+)	['ECDH10B_1540']
aldA	[1576850:1578290](+)	['ECDH10B_1541']
cybB	[1579520:1580051](+)	['ECDH10B_1544']
ydcA	[1580295:1580469](+)	['ECDH10B_1545']
trg	[1581088:1582729](+)	['ECDH10B_1549']
ydcJ	[1583906:1585250](+)	['ECDH10B_1551']
mdoD	[1585474:1587130](+)	['ECDH10B_1552']
ydcH	[1587269:1587494](+)	['ECDH10B_1553']
rimL	[1587556:1588096](+)	['ECDH10B_1554']
tehA	[1589191:1590184](+)	['ECDH10B_1556']
tehB	[1590180:1590774](+)	['ECDH10B_1557']
ydcL	[1591075:1591744](+)	['ECDH10B_1558']
ydcM	[1592275:1593484](+)	['ECDH10B_1562']
ydcN	[1594790:1595327](+)	['ECDH10B_1564']
ydcP	[1595399:1597361](+)	['ECDH10B_1565']
yncN	[1597904:1598081](+)	['ECDH10B_1567']
ydcQ	[1598105:1598543](+)	['ECDH10B_1568']
ydcR	[1598621:1600028](+)	['ECDH10B_1569']
ydcS	[1600272:1601418](+)	['ECDH10B_1570']
ydcT	[1601435:1602449](+)	['ECDH10B_1571']
ydcU	[1602449:1603391](+)	['ECDH10B_1572']
ydcV	[1603380:1604175](+)	['ECDH10B_1573']
ydcW	[1604196:1605621](+)	['ECDH10B_1574']
ydcX	[1606007:1606181](+)	['ECDH10B_1575']
ydcY	[1606266:1606500](+)	['ECDH10B_1576']
yncB	[1607645:1608683](+)	['ECDH10B_1579']
yncC	[1608880:1609546](+)	['ECDH10B_1580']
yncE	[1611925:1612987](+)	['ECDH10B_1582']
yncG	[1614865:1615483](+)	['ECDH10B_1584']
yncH	[1615558:1615771](+)	['ECDH10B_1585']
rhsE	[1616508:1618557](+)	['ECDH10B_1586']
ydcD	[1618540:1619023](+)	['ECDH10B_1587']
yncI	[1619204:1620258](+)	['ECDH10B_1589']
ydcC	[1620434:1621571](+)	['ECDH10B_1591']
pptA	[1621670:1621904](+)	['ECDH10B_1592']
nhoA	[1622642:1623488](+)	['ECDH10B_1594']
fdnG	[1636019:1639067](+)	['ECDH10B_1605']
fdnH	[1639079:1639964](+)	['ECDH10B_1606']
fdnI	[1639956:1640610](+)	['ECDH10B_1607']
osmC	[1645243:1645675](+)	['ECDH10B_1613']
lsrA	[1689138:1690674](+)	['ECDH10B_1644']
lsrC	[1690667:1691696](+)	['ECDH10B_1645']
lsrD	[1691695:1692688](+)	['ECDH10B_1646']
lsrB	[1692699:1693722](+)	['ECDH10B_1647']
lsrF	[1693748:1694624](+)	['ECDH10B_1648']
lsrG	[1694647:1694938](+)	['ECDH10B_1649']
tam	[1694994:1695753](+)	['ECDH10B_1650']
yneJ	[1702452:1703334](+)	['ECDH10B_1657']
yneK	[1703411:1704527](+)	['ECDH10B_1658']
ydeA	[1704676:1705867](+)	['ECDH10B_1659']
marR	[1706768:1707203](+)	['ECDH10B_1661']
marA	[1707222:1707606](+)	['ECDH10B_1662']
marB	[1707637:1707856](+)	['ECDH10B_1663']
ydeE	[1708980:1710168](+)	['ECDH10B_1665']
ydeJ	[1712421:1712940](+)	['ECDH10B_1668']
ydfG	[1715165:1715912](+)	['ECDH10B_1670']
ydfH	[1716000:1716687](+)	['ECDH10B_1671']
ydfZ	[1716863:1717067](+)	['ECDH10B_1672']
ydfK	[1720687:1720954](+)	['ECDH10B_1675']
pinQ	[1721270:1721861](+)	['ECDH10B_1676']
ynfO	[1724404:1724638](+)	['ECDH10B_1680']
ydfO	[1724695:1725106](+)	['ECDH10B_1681']
cspF	[1729503:1729716](+)	['ECDH10B_1690']
ydfV	[1733545:1733851](+)	['ECDH10B_1697']
flxA	[1734053:1734386](+)	['ECDH10B_1698']
dicA	[1735582:1735990](+)	['ECDH10B_1702']
ydfA	[1736156:1736312](+)	['ECDH10B_1703']
ydfB	[1736313:1736442](+)	['ECDH10B_1704']
ydfC	[1736471:1736690](+)	['ECDH10B_1705']
dicB	[1737257:1737446](+)	['ECDH10B_1707']
ydfD	[1737442:1737634](+)	['ECDH10B_1708']
ydfE	[1737726:1738647](+)	['ECDH10B_1709']
insD-7	[1738529:1739186](+)	['ECDH10B_1710']
ynfB	[1744792:1745134](+)	['ECDH10B_1716']
speG	[1745168:1745729](+)	['ECDH10B_1717']
ynfD	[1746549:1746855](+)	['ECDH10B_1719']
ynfE	[1747053:1749480](+)	['ECDH10B_1720']
ynfF	[1749540:1751964](+)	['ECDH10B_1721']
ynfG	[1751974:1752592](+)	['ECDH10B_1722']
ynfH	[1752593:1753448](+)	['ECDH10B_1723']
dmsD	[1753490:1754105](+)	['ECDH10B_1724']
clcB	[1754299:1755556](+)	['ECDH10B_1725']
ynfM	[1758683:1759937](+)	['ECDH10B_1729']
asr	[1760360:1760669](+)	['ECDH10B_1730']
ydgD	[1760944:1761766](+)	['ECDH10B_1731']
tqsA	[1762897:1763932](+)	['ECDH10B_1734']
ydgH	[1767411:1768356](+)	['ECDH10B_1737']
ydgI	[1768541:1769924](+)	['ECDH10B_1738']
folM	[1769960:1770683](+)	['ECDH10B_1739']
rstA	[1771134:1771863](+)	['ECDH10B_1741']
rstB	[1771866:1773168](+)	['ECDH10B_1742']
tus	[1773243:1774173](+)	['ECDH10B_1743']
manA	[1777560:1778736](+)	['ECDH10B_1746']
ydgA	[1778836:1780345](+)	['ECDH10B_1747']
malX	[1788339:1789932](+)	['ECDH10B_1754']
malY	[1789941:1791114](+)	['ECDH10B_1755']
add	[1791217:1792219](+)	['ECDH10B_1756']
ydgT	[1793543:1793759](+)	['ECDH10B_1759']
ydgK	[1793844:1794285](+)	['ECDH10B_1760']
rsxA	[1794361:1794943](+)	['ECDH10B_1761']
rsxB	[1794942:1795521](+)	['ECDH10B_1762']
rsxC	[1795513:1797736](+)	['ECDH10B_1763']
rsxD	[1797736:1798795](+)	['ECDH10B_1764']
rsxG	[1798798:1799419](+)	['ECDH10B_1765']
rsxE	[1799422:1800118](+)	['ECDH10B_1766']
nth	[1800117:1800753](+)	['ECDH10B_1767']
tppB	[1801363:1802866](+)	['ECDH10B_1768']
gst	[1802971:1803577](+)	['ECDH10B_1769']
slyB	[1808470:1808938](+)	['ECDH10B_1775']
ydhJ	[1809858:1810716](+)	['ECDH10B_1778']
ydhK	[1810715:1812728](+)	['ECDH10B_1779']
ydhM	[1814701:1815217](+)	['ECDH10B_1783']
nemA	[1815253:1816351](+)	['ECDH10B_1784']
gloA	[1816431:1816839](+)	['ECDH10B_1785']
rnt	[1816941:1817589](+)	['ECDH10B_1786']
lhr	[1817681:1822298](+)	['ECDH10B_1787']
ydhO	[1823029:1823845](+)	['ECDH10B_1789']
sodB	[1823972:1824554](+)	['ECDH10B_1790']
ydhC	[1828505:1829717](+)	['ECDH10B_1794']
cfa	[1830007:1831156](+)	['ECDH10B_1795']
mdtK	[1832051:1833425](+)	['ECDH10B_1797']
ydhR	[1835294:1835600](+)	['ECDH10B_1801']
ydhS	[1835725:1837330](+)	['ECDH10B_1802']
pykF	[1844292:1845705](+)	['ECDH10B_1810']
lpp	[1846015:1846252](+)	['ECDH10B_1811']
ydiK	[1857668:1858781](+)	['ECDH10B_1823']
ydiL	[1859209:1859566](+)	['ECDH10B_1825']
ydiM	[1859665:1860880](+)	['ECDH10B_1826']
ydiN	[1861106:1862372](+)	['ECDH10B_1827']
ydiB	[1862383:1863250](+)	['ECDH10B_1828']
aroD	[1863280:1864039](+)	['ECDH10B_1829']
ydiO	[1865790:1866942](+)	['ECDH10B_1831']
ydiQ	[1868211:1868976](+)	['ECDH10B_1833']
ydiR	[1868995:1869934](+)	['ECDH10B_1834']
ydiS	[1869989:1871279](+)	['ECDH10B_1835']
ydiT	[1871275:1871569](+)	['ECDH10B_1836']
ydiD	[1871571:1873272](+)	['ECDH10B_1837']
ydiA	[1876039:1876873](+)	['ECDH10B_1839']
aroH	[1877029:1878076](+)	['ECDH10B_1840']
ydiE	[1878207:1878399](+)	['ECDH10B_1841']
yniD	[1893744:1893867](+)	['ECDH10B_1859']
pfkB	[1894964:1895894](+)	['ECDH10B_1861']
ydiZ	[1895994:1896285](+)	['ECDH10B_1862']
yniA	[1896390:1897251](+)	['ECDH10B_1863']
yniC	[1897974:1898643](+)	['ECDH10B_1865']
ydjM	[1898805:1899396](+)	['ECDH10B_1866']
ydjN	[1899528:1900920](+)	['ECDH10B_1867']
katE	[1902461:1904723](+)	['ECDH10B_1870']
nadE	[1911052:1911880](+)	['ECDH10B_1878']
cho	[1912109:1912997](+)	['ECDH10B_1879']
xthA	[1921022:1921829](+)	['ECDH10B_1887']
ydjX	[1921995:1922706](+)	['ECDH10B_1888']
ydjY	[1922710:1923388](+)	['ECDH10B_1889']
ydjZ	[1923402:1924110](+)	['ECDH10B_1890']
ynjA	[1924109:1924658](+)	['ECDH10B_1891']
ynjB	[1924667:1925834](+)	['ECDH10B_1892']
ynjC	[1925851:1927342](+)	['ECDH10B_1893']
ynjD	[1927341:1927995](+)	['ECDH10B_1894']
ynjE	[1928061:1929369](+)	['ECDH10B_1895']
nudG	[1930084:1930492](+)	['ECDH10B_1897']
gdhA	[1930965:1932309](+)	['ECDH10B_1899']
sppA	[1937431:1939288](+)	['ECDH10B_1904']
ansA	[1939454:1940471](+)	['ECDH10B_1905']
pncA	[1940481:1941123](+)	['ECDH10B_1906']
gapA	[1951365:1952361](+)	['ECDH10B_1917']
yeaD	[1952444:1953329](+)	['ECDH10B_1918']
yeaG	[1955502:1957437](+)	['ECDH10B_1921']
yeaH	[1957549:1958833](+)	['ECDH10B_1922']
yeaI	[1958979:1960455](+)	['ECDH10B_1923']
yeaJ	[1960635:1962126](+)	['ECDH10B_1924']
yeaK	[1962168:1962672](+)	['ECDH10B_1925']
yeaL	[1962946:1963393](+)	['ECDH10B_1927']
yeaN	[1964267:1965449](+)	['ECDH10B_1929']
yeaO	[1965503:1965851](+)	['ECDH10B_1930']
yeaP	[1966309:1967335](+)	['ECDH10B_1932']
yeaU	[1970506:1971592](+)	['ECDH10B_1938']
yeaV	[1971782:1973228](+)	['ECDH10B_1939']
yeaW	[1973259:1974384](+)	['ECDH10B_1940']
yeaX	[1974439:1975405](+)	['ECDH10B_1941']
yoaB	[1981961:1982306](+)	['ECDH10B_1947']
yoaC	[1982667:1983027](+)	['ECDH10B_1948']
yeaB	[1984764:1985343](+)	['ECDH10B_1951']
sdaA	[1985526:1986891](+)	['ECDH10B_1952']
yoaD	[1987021:1988620](+)	['ECDH10B_1953']
manX	[1990642:1991614](+)	['ECDH10B_1955']
manY	[1991676:1992477](+)	['ECDH10B_1956']
manZ	[1992480:1993341](+)	['ECDH10B_1957']
yobD	[1993395:1993854](+)	['ECDH10B_1958']
yebN	[1994282:1994849](+)	['ECDH10B_1959']
yobH	[1997519:1997759](+)	['ECDH10B_1965']
yebQ	[1998870:2000244](+)	['ECDH10B_1967']
yebS	[2004852:2006136](+)	['ECDH10B_1972']
yebT	[2006104:2008738](+)	['ECDH10B_1973']
yebU	[2008817:2010257](+)	['ECDH10B_1974']
yebV	[2010374:2010611](+)	['ECDH10B_1975']
yebW	[2010715:2010907](+)	['ECDH10B_1976']
holE	[2013702:2013933](+)	['ECDH10B_1983']
yobB	[2014034:2014691](+)	['ECDH10B_1984']
exoX	[2014714:2015377](+)	['ECDH10B_1985']
purT	[2019475:2020654](+)	['ECDH10B_1990']
yebK	[2025246:2026116](+)	['ECDH10B_1994']
pykA	[2026243:2027686](+)	['ECDH10B_1995']
znuC	[2031256:2032012](+)	['ECDH10B_1999']
znuB	[2032008:2032794](+)	['ECDH10B_2000']
yebB	[2034845:2035448](+)	['ECDH10B_2003']
yecD	[2039426:2039993](+)	['ECDH10B_2008']
yecE	[2039989:2040808](+)	['ECDH10B_2009']
yecN	[2040860:2041256](+)	['ECDH10B_2010']
yecO	[2041296:2042040](+)	['ECDH10B_2011']
yecP	[2042036:2043008](+)	['ECDH10B_2012']
argS	[2048656:2050390](+)	['ECDH10B_2017']
yecT	[2050566:2051055](+)	['ECDH10B_2018']
yecG	[2068784:2069213](+)	['ECDH10B_2036']
yecI	[2075956:2076460](+)	['ECDH10B_2042']
yecR	[2077253:2077577](+)	['ECDH10B_2045']
ftn	[2077747:2078245](+)	['ECDH10B_2046']
tyrP	[2078712:2079924](+)	['ECDH10B_2048']
yecF	[2084849:2085074](+)	['ECDH10B_2056']
fliD	[2092903:2094310](+)	['ECDH10B_2065']
fliS	[2094334:2094745](+)	['ECDH10B_2066']
fliT	[2094744:2095110](+)	['ECDH10B_2067']
amyA	[2095187:2096675](+)	['ECDH10B_2068']
yedE	[2097308:2098514](+)	['ECDH10B_2070']
yedF	[2098510:2098744](+)	['ECDH10B_2071']
yedK	[2098852:2099521](+)	['ECDH10B_2072']
yedL	[2099631:2100111](+)	['ECDH10B_2073']
intG	[2101533:2101812](+)	['ECDH10B_2078']
fliF	[2102260:2103919](+)	['ECDH10B_2080']
fliG	[2103911:2104907](+)	['ECDH10B_2081']
fliH	[2104899:2105586](+)	['ECDH10B_2082']
fliI	[2105585:2106959](+)	['ECDH10B_2083']
fliJ	[2106977:2107421](+)	['ECDH10B_2084']
fliK	[2107417:2108545](+)	['ECDH10B_2085']
fliL	[2108649:2109114](+)	['ECDH10B_2086']
fliM	[2109118:2110123](+)	['ECDH10B_2087']
fliN	[2110119:2110533](+)	['ECDH10B_2088']
fliO	[2110535:2110901](+)	['ECDH10B_2089']
fliP	[2110900:2111638](+)	['ECDH10B_2090']
fliQ	[2111647:2111917](+)	['ECDH10B_2091']
fliR	[2111924:2112710](+)	['ECDH10B_2092']
